========================================================================================================================================
COMPREHENSIVE CURRENT EUROPEAN & JAPANESE CARS DATASET (2025-2026 EDITION)
========================================================================================================================================
This dataset contains a structured list of 200+ current production vehicle models available globally from European and 
Japanese automotive manufacturers. 

Total Records: 421

Field Schema:
- ID           : Sequential Entry Identifier
- Make         : Vehicle Brand / Manufacturer
- Model        : Vehicle Model Name and Trim/Variant Specification
- Region       : Geographic Region (Europe / Japan)
- Country      : Country of Origin / Corporate Headquarters
- Body_Type    : Vehicle Body Configuration
- Powertrain   : Engine Tech / Fuel Type (Gasoline, Diesel, Full Hybrid, Plug-in Hybrid, BEV, MHEV)
- Power_HP     : Maximum Engine/System Output in Horsepower (HP)
- Base_Price   : Estimated Starting MSRP in USD ($)
========================================================================================================================================

ID   | Make               | Model                         | Region   | Country        | Body_Type          | Powertrain                  | Power_HP | Base_Price
----------------------------------------------------------------------------------------------------------------------------------------
001  | Volkswagen         | Golf 1.5 TSI                  | Europe   | Germany        | Hatchback          | Gasoline / Mild Hybrid      | 150 HP   | $30,500
002  | Volkswagen         | Golf GTI                      | Europe   | Germany        | Hatchback          | Gasoline Turbo              | 241 HP   | $32,000
003  | Volkswagen         | Golf R                        | Europe   | Germany        | Hatchback          | Gasoline Turbo AWD          | 315 HP   | $45,500
004  | Volkswagen         | Polo 1.0 TSI                  | Europe   | Germany        | Hatchback          | Gasoline Turbo              | 95 HP    | $21,500
005  | Volkswagen         | Tiguan 2.0 TSI                | Europe   | Germany        | SUV                | Gasoline Turbo              | 201 HP   | $38,500
006  | Volkswagen         | Tiguan 2.0 TDI                | Europe   | Germany        | SUV                | Diesel Turbo                | 193 HP   | $42,000
007  | Volkswagen         | Touareg 3.0 TDI               | Europe   | Germany        | Luxury SUV         | Diesel Turbo V6             | 286 HP   | $72,000
008  | Volkswagen         | ID.3 Pro                      | Europe   | Germany        | Hatchback          | Electric (BEV)              | 204 HP   | $38,000
009  | Volkswagen         | ID.4 Pro                      | Europe   | Germany        | SUV                | Electric (BEV)              | 282 HP   | $45,000
010  | Volkswagen         | ID.5 GTX                      | Europe   | Germany        | Coupe SUV          | Electric (BEV) AWD          | 335 HP   | $54,000
011  | Volkswagen         | ID.7 Pro                      | Europe   | Germany        | Sedan              | Electric (BEV)              | 282 HP   | $58,000
012  | Volkswagen         | ID. Buzz Pro                  | Europe   | Germany        | Van / MPV          | Electric (BEV)              | 282 HP   | $60,000
013  | Volkswagen         | Arteon Shooting Brake         | Europe   | Germany        | Wagon              | Gasoline Turbo              | 316 HP   | $52,000
014  | Volkswagen         | T-Roc 1.5 TSI                 | Europe   | Germany        | Compact SUV        | Gasoline Turbo              | 150 HP   | $31,000
